image,species,individual_id,box
00021adfb725ed.jpg,melon_headed_whale,cadddb1636b9,2 116 802 665
000562241d384d.jpg,humpback_whale,1a71fbb72250,588 597 3504 1477
0007c33415ce37.jpg,false_killer_whale,60008f293a2b,0 453 3183 1589
0007d9bca26a99.jpg,bottlenose_dolphin,4b00fe572063,1 91 2636 1495
00087baf5cef7a.jpg,humpback_whale,8e5253662392,1139 1590 3574 1913
000a8f2d5c316a.jpg,bottlenose_dolphin,b9907151f66e,259 443 2053 1068
000be9acf46619.jpg,beluga,afb9b3978217,
000bef247c7a42.jpg,humpback_whale,444d8894ccc8,22 1264 2702 1536
000c3d63069748.jpg,beluga,df94b15285b9,42 52 444 154
000c476c11bad5.jpg,bottlenose_dolphin,b11b2404c7e3,1234 696 2257 1210
001001f099519f.jpg,minke_whale,19fbb960f07d,788 1036 2101 1373
00103cbe9d25ce.jpg,fin_whale,180c0ab04dcd,180 505 2143 939
00144776eb476d.jpg,bottlenose_dolphin,b9907151f66e,1394 328 3271 926
00167e8375c967.jpg,beluga,0ad50d0d9b06,
00177f3c614d1e.jpg,bottlenose_dolphin,812be36c2aef,619 1100 2071 1849
0017b3749cd769.jpg,bottlenose_dolphin,445270d9ad52,1501 1004 2388 1367
0018064338b499.jpg,blue_whale,4790ec346170,
001b0900f56e89.jpg,humpback_whale,bc14b5054353,1332 1179 3598 1493
001cfade605960.jpg,blue_whale,ff69d0975a73,
001f1a1f22da96.jpg,minke_whale,780fefdb6198,1662 853 2287 1038
0020004d64ae20.jpg,gray_whale,a8c9dfb8ac6f,
00206a224e68de.jpg,blue_whale,6c4372e42db1,
0022bdb8eb5684.jpg,humpback_whale,35f898e6595e,1 87 868 215
00234b893ea9e8.jpg,false_killer_whale,bfb74132d1db,0 70 222 240
0024057bbc89a4.jpg,minke_whale,114207cab555,1979 1158 2250 1364
00243d4b15bafc.jpg,beluga,3cbfd98eea8f,
002618d6f63ebc.jpg,southern_right_whale,f5eab86405b4,
0028f6fa123686.jpg,bottlenose_dolphin,956562ff2888,1418 505 1863 940
0029d877c29ab4.jpg,melon_headed_whale,c27f0a7f4e5a,8 57 1129 728
002ac5f9ad7c10.jpg,false_killer_whale,f7bb4f9a9d1a,1 1591 521 2172
002e00960cec44.jpg,common_dolphin,e943980b7a98,0 148 1139 830
002fb5fee50b97.jpg,humpback_whale,45fc3a8e1d4e,82 150 2538 664
0030835e895969.jpg,kiler_whale,1816cc1ae38b,1192 1012 1949 1282
0032f90c7732b0.jpg,melon_headed_whale,a21288153152,76 98 752 581
00354cd9244e28.jpg,beluga,a03830613b45,
0036b5c11b39f3.jpg,pilot_whale,fefd0899a5dc,18 358 3587 1976
